"VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"16/12/2019" 118.303415176725 119.917262155451 122.837930642194 95.5713408268137 118.100789648393 119.70050334086 120.799476441443 113.936815978219 125.681477316059 125.312822195289 116.128209007504 116.329644845205 121.226209414539 123.139545141447 107.675045945164 117.910622983832 88.0912472675588 122.517399804206 109.823635610653 95.5581024856589 119.267394558225 117.492877434623 145.088730462524 112.007124050761 89.5867372261055 122.963689833974 95.2592196685112 114.024545403638 86.7311865240123 120.543805241204 116.208288173689
"17/12/2019" 118.388122639835 119.986971019752 122.856368537665 95.4990087265413 118.166541323166 119.658632029135 120.713355307323 113.725677145001 125.629034096313 125.230956747193 116.021825758846 116.231507272938 121.252695188318 123.060389329485 107.593441879993 117.986982840974 87.9555378940408 122.377790782512 109.784874683085 95.4993004596098 119.182401119739 117.349407526676 145.048327375328 111.812621309823 89.511823761946 122.861682360434 95.1656625944109 113.9745836406 86.5832100668419 120.569546010903 116.098755965921
"18/12/2019" 116.336498232042 120.601121712823 121.529903253096 94.7736002267821 118.778806946675 118.710619948418 118.761339243715 116.670339236796 123.238638975751 125.849242552922 119.638886389597 120.531977039825 120.54661428261 121.654935428276 106.97387073997 116.940640823998 86.5108060444077 121.415281728461 112.654501934123 94.3386276029394 121.133877304342 120.253969544416 143.179382933666 117.594837478415 89.1431807425818 121.702402687617 95.7987579134644 110.893589570545 85.4185816553523 119.649339679767 121.553311816633
"19/12/2019" 117.201674154088 122.093894796369 122.605088507025 94.689292939084 120.165342833711 120.028614181176 119.794989851424 116.423517532028 118.6122158802 125.679496366982 119.394591658831 120.316719172459 121.824814984646 121.856384774339 106.92406427766 118.005919649796 86.4721603922345 121.440031094528 108.14004062624 94.3235891438899 120.892691436947 120.002971774319 144.304437574414 117.52105437545 88.9497775997605 121.81056200762 95.5602466781459 111.618124066524 85.3037610761018 116.186038873641 121.431208021666
"20/12/2019" 117.202530502383 122.055821524808 122.578205244161 94.7125319345118 120.140521016597 119.992094791167 119.769917529693 116.442115007443 118.616008700165 125.709147576346 119.412566156579 120.327130162877 121.78964046621 121.872531601805 106.948261347866 117.999248075685 86.491926877183 121.464174708123 108.148944667847 94.3434757056365 120.92003866109 120.025563069614 144.280881300877 117.50649304827 88.9760565714384 121.831093523541 95.5883441621243 111.622431724208 85.3268165449528 116.148691157783 121.424435164195
"23/12/2019" 108.638281327828 117.502294558323 126.186027771367 105.700051056231 112.14594060137 120.161527537776 123.859366336739 129.435967789322 128.19867511781 139.229708747727 132.381613458146 133.042605179075 122.596501143036 133.236346643535 118.646687535471 109.003559289786 96.8437254915252 133.963386987079 102.778592399036 104.94227621768 134.239867167531 133.288355738518 149.460837707494 129.315469278791 99.9487568765566 133.811104532685 107.155264086224 103.755718999445 95.9640909376201 115.646985294019 133.586226737933
"24/12/2019" 118.620166543288 120.855120340778 123.624333134672 95.8293504335851 118.885174440285 120.06300700121 120.955634297499 113.58003373368 120.634599229706 125.485321266777 116.447520612319 116.551882649767 122.036165377838 123.595751830202 108.011540731013 118.38794954406 87.8936794638318 122.632141408908 109.491018959682 95.7541185600275 119.546457446796 117.664570167584 145.828061834784 111.828282248452 89.6055405402036 123.309685104488 95.4727053983291 113.507522551584 86.4474661623536 116.003662298315 116.254611625824
"25/12/2019" 118.598826336939 120.903405669986 123.64561663459 95.8148078878168 118.94223032402 120.09274446482 120.972137765232 113.546475199021 120.630215325007 125.461062960776 116.417433472517 116.519311911151 122.066302255569 123.587858826541 107.996841872271 118.410925126941 87.8791637336461 122.616488908447 109.440210878029 95.7412989758449 119.519408803328 117.635082316622 145.847394005911 111.791702976374 89.5863910602965 123.298200062332 95.4518266605021 113.451844197778 86.4300802956333 116.033251973718 116.21881538117
"26/12/2019" 118.28310188206 121.594071314269 124.152609462187 95.9818678668792 119.577637429967 120.672697815649 121.456817872259 113.633556281439 120.959820062104 120.572401846068 116.516992666226 116.594699807106 122.639836403975 123.880276847848 108.195283776369 118.506696448263 88.0419006799049 122.856905584274 109.270574357703 95.9182033449719 119.644414105089 117.751755205469 146.399527006449 111.846531955548 86.3360029449538 123.565929611741 95.5695909529892 112.918550314648 86.5673422706241 116.609657232129 111.619273660366
"27/12/2019" 118.266823403837 121.625594968911 124.248687808308 96.1300914554713 119.575271435791 120.742294748489 121.556481915029 113.838309080603 121.104795287969 120.768710362662 116.722204801007 116.802725162154 122.714321145839 124.043755660299 108.357344025218 118.489272463327 88.1790123942404 123.034680726214 109.267355653516 96.0606102537945 119.84356784588 117.956926683235 146.519938492998 112.058025898314 86.4833834807461 123.736778550136 95.7312616134302 112.905306152701 86.7082342632878 116.672604738881 111.831195284294
"30/12/2019" 118.571233480497 120.600570120137 123.789228069039 96.4345399087106 118.414712124188 120.079953763754 121.176849843016 114.525536422425 121.1852352325 121.348067049368 117.345346092239 117.557278549894 122.050065944616 124.160541340976 108.6405021299 118.01175865058 88.473955412007 123.313165826423 109.131065049226 96.3910094745321 120.482310578921 118.52821003962 146.025915990622 112.79255754013 86.941010341399 123.923570419599 96.1501515974723 113.830682048038 87.0697447704063 116.050646684118 112.651408418176
"31/12/2019" 118.463151573722 120.272950289631 123.334893378022 95.9346101375687 118.165719570038 119.678495664764 120.717872642914 113.871435854493 120.645211143198 120.707546383787 116.68315045836 116.919520694569 121.633928941614 123.559037808837 108.079885325159 117.847714208286 88.0115906852114 122.686121900912 108.927796474429 95.9271741545815 119.85876855855 117.851358793412 145.458698972714 112.119103045527 86.4693604009731 123.306322700078 95.6167999692637 113.785195529466 86.6053189188945 115.683507326775 111.993589254264
