"TIF012024" "TIF012026" "TIF012037" "TIF022021" "TIF022029" "TIF022030" "TIF022032" "TIF032022" "TIF032028" "TIF032029" "TIF032031" "TIF032032" "TIF032033" "TIF042023" "TIF052028" "TIF052034" "TIF052036" "TIF082028" "TIF092034" "TIF092035" "TIF112020" "TIF112027" "TIF112029" "TIF122028" "TIF122029"
"15/11/2019" 156.456077544686 165.675048569286 156.135605239951 120.298384079801 180.006503586789 182.676234070496 173.874186520739 132.640071369723 177.680189301135 179.4980518771 177.508690867199 183.169750500733 172.711419075444 147.807229191604 175.796442180129 167.422996741097 158.979293073186 122.61080627907 168.86876238847 164.636612326616 117.028079431035 173.034842417473 122.409142482731 130.756668634282 133.393990050804
"18/11/2019" 151.168520796779 158.829003134444 152.065877173818 120.002543441971 172.706905383542 175.583383097471 167.862294899959 130.147186298663 170.3752212877 172.194097384926 170.96064640116 176.991530885159 167.07592376331 143.543803846321 168.45135032309 162.387967372111 154.66482526025 117.217622471302 163.990299173789 160.12432790563 117.136448767876 165.745709070705 117.456299331817 125.132871159109 128.154329254545
"19/11/2019" 151.191112228698 158.856898590963 152.106848365748 120.015519266268 172.743513643231 175.622578278461 167.903239229163 130.163484341613 170.409483270987 172.230744518614 171.000874013934 177.034168610489 167.118057395971 143.56386919609 168.485793052517 162.43010589558 154.706357481865 117.243774790184 164.032796464444 160.166566652373 117.148753626328 165.778507891693 117.484300943771 125.160989545396 128.184397496783
"20/11/2019" 151.213698832738 158.884789902455 152.147823251909 120.028490153558 172.780119099571 175.661771303226 167.944183449306 130.179777524689 170.443741931947 172.267388898674 171.041100552602 177.076806094785 167.160191944028 143.583929657867 168.520232645775 162.472246401504 154.747893106515 117.269925486514 164.075295938634 160.208808322877 117.161053587506 165.811303316387 117.5123015647 125.189106288851 128.214464555955
"21/11/2019" 151.2362806064 158.912677066147 152.188801829432 120.041456101938 172.816721749013 175.700962167935 167.985127555862 130.196065845739 170.477997267258 172.304030521555 171.081326012614 177.119443333354 167.202327403076 143.603985229293 168.554669099536 162.514388885867 154.789432131065 117.296074557832 164.117797592444 160.25105291367 117.173348649596 165.844095341616 117.540301191923 125.217221386805 128.244530429158
"22/11/2019" 151.258857547183 158.940560079261 152.229784095446 120.054417109504 172.853321588005 175.740150868763 168.026071544301 130.212349302612 170.5122492736 172.340669383704 171.121550389422 177.162080321504 167.244463768707 143.624035908008 168.589102410474 162.556533344651 154.830974552377 117.322222001677 164.160301421961 160.293300421274 117.185638810785 165.87688396421 117.568299822761 125.245334836593 128.274595113491
"25/11/2019" 151.326559347271 159.02418418738 152.352752995706 120.093270468293 172.963104206785 175.857703949676 168.148902755629 130.261170466661 170.614985285602 172.450569370239 171.242216975111 177.289989736512 167.370878261002 143.6841585643 168.692383453083 162.682978527325 154.955622165493 117.400654543771 164.287825925572 160.420060410172 117.222479870818 165.97522938448 117.652289710153 125.32966527029 128.364782004267
"26/11/2019" 151.349116931548 159.052050570425 152.393749986945 120.106211693581 172.99969276848 175.896883956698 168.189846226307 130.277434445317 170.64922394286 172.487197153941 171.282436973592 177.332625676051 167.413018208862 143.704189648581 168.726804159463 162.725130843581 154.997178142451 117.426795453119 164.330338418729 160.462319550229 117.23475041028 166.008004364831 117.680284328641 125.357772100745 128.394841904114
"27/11/2019" 151.371669670448 159.079912789013 152.434750652296 120.119147968546 173.036278501976 175.936061780701 168.230789556215 130.293693549041 170.683459254547 172.523822159151 171.322655866112 177.375261341699 167.455159041248 143.724215828355 168.761221706388 162.767285114144 155.038737500459 117.452934722692 164.372853067992 160.504581589692 117.247016039782 166.040775926694 117.70827793734 125.385877269702 128.424900600588
"28/11/2019" 151.394217561471 159.107770840368 152.475754988877 120.13207929129 173.072861403723 175.975237417858 168.271732740821 130.309947775682 170.717691217342 172.560444382319 171.36287364812 177.417896728758 167.497300753744 143.744237101262 168.795636090532 162.809441334986 155.080300236369 117.47907235003 164.415369869437 160.546846525074 117.259276757515 166.073544066899 117.736270533569 125.413980774494 128.454958090788
"29/11/2019" 151.416760602119 159.135624721715 152.516762993804 120.145005659912 173.109441470172 176.01441086434 168.312675775592 130.326197123091 170.751919827925 172.597063819893 171.403090315063 177.46053183253 167.539443341933 143.764253464942 168.830047308569 162.851599502078 155.121866347033 117.505208332673 164.457888819135 160.589114352887 117.27153256167 166.106308782273 117.764262114647 125.442082612455 128.485014371814
